NOMBRE,APELLIDO PATERNO,APELLIDO MATERNO,AÑO,MES,DIA,VISITAS AL ANTRO,EDAD,PROMEDIO GASTADO
LUIS,GARCIA,HERNANDEZ,1990,3,5,15,34,7377
CARLOS,HERNANDEZ,HERNANDEZ,1986,10,27,20,38,7740
SOFIA,LOPEZ,RODRIGUEZ,1990,11,4,10,34,4352
ANA,HERNANDEZ,GARCIA,1987,5,24,7,37,3409
MARIA,SANCHEZ,GOMEZ,1991,11,9,11,33,3859
PEDRO,PEREZ,GOMEZ,2004,9,26,12,20,2822
MARIA,RODRIGUEZ,RODRIGUEZ,1998,2,3,13,26,5885
LUIS,RAMIREZ,SANCHEZ,1996,12,9,7,28,3227
CARLOS,RAMIREZ,MARTINEZ,2005,8,4,5,19,2185
SOFIA,MARTINEZ,CRUZ,1989,11,21,4,35,1176
GABRIELA,LOPEZ,PEREZ,1995,8,10,15,29,4987
CARLOS,HERNANDEZ,LOPEZ,1998,12,16,13,26,3545
FERNANDO,GARCIA,CRUZ,2002,10,10,3,22,1436
LUIS,PEREZ,GARCIA,2002,2,27,13,22,4629
MARIA,PEREZ,HERNANDEZ,2002,8,15,13,22,3872
CARLOS,GARCIA,SANCHEZ,2001,8,25,9,23,4366
FERNANDO,HERNANDEZ,GOMEZ,2005,2,22,18,19,8234
JUAN,HERNANDEZ,RODRIGUEZ,2002,11,16,2,22,583
LAURA,GOMEZ,GARCIA,2000,11,16,6,24,1825
PEDRO,CRUZ,GARCIA,1995,4,26,3,29,993
FERNANDO,PEREZ,CRUZ,2002,7,13,6,22,1974
CARLOS,CRUZ,PEREZ,1994,6,7,18,30,8937
JUAN,LOPEZ,SANCHEZ,1999,7,18,15,25,7437
GABRIELA,LOPEZ,CRUZ,2002,10,27,4,22,861
PEDRO,GOMEZ,LOPEZ,1987,11,13,15,37,4166
FERNANDO,HERNANDEZ,LOPEZ,1997,4,1,11,27,2702
CARLOS,GARCIA,RAMIREZ,1995,1,1,16,29,4469
MARIA,SANCHEZ,GOMEZ,2002,10,22,13,22,4040
PEDRO,GOMEZ,CRUZ,1990,3,5,19,34,5755
JUAN,HERNANDEZ,PEREZ,1996,2,21,5,28,2458
JUAN,GOMEZ,MARTINEZ,2005,11,3,12,19,2493
SOFIA,RODRIGUEZ,SANCHEZ,1995,7,28,16,29,6755
SOFIA,RODRIGUEZ,GARCIA,1985,9,25,12,39,5667
JUAN,RODRIGUEZ,LOPEZ,2005,4,20,19,19,8691
JUAN,MARTINEZ,SANCHEZ,1985,11,28,13,39,4993
PEDRO,LOPEZ,SANCHEZ,1997,12,5,18,27,5879
CARLOS,SANCHEZ,PEREZ,2001,2,22,7,23,1490
FERNANDO,SANCHEZ,SANCHEZ,2004,8,9,15,20,5187
SOFIA,MARTINEZ,HERNANDEZ,2004,1,28,3,20,696
FERNANDO,SANCHEZ,GARCIA,2002,9,14,7,22,2142
MARIA,GARCIA,PEREZ,1985,4,3,3,39,1046
JUAN,MARTINEZ,CRUZ,1995,10,16,2,29,431
LUIS,CRUZ,HERNANDEZ,1987,2,4,15,37,5457
LAURA,GARCIA,RODRIGUEZ,1995,12,6,15,29,6838
LAURA,PEREZ,GOMEZ,2000,11,28,7,24,3234
ANA,PEREZ,PEREZ,2002,12,15,8,22,2546
GABRIELA,GARCIA,GARCIA,2000,1,15,18,24,6405
MARIA,LOPEZ,SANCHEZ,1987,10,21,2,37,871
JUAN,RAMIREZ,CRUZ,1993,4,19,10,31,2775
LAURA,CRUZ,RODRIGUEZ,1991,12,28,2,33,942
PEDRO,CRUZ,SANCHEZ,1999,4,2,4,25,1152
FERNANDO,MARTINEZ,PEREZ,1999,6,17,13,25,2694
ANA,GARCIA,SANCHEZ,1997,11,18,11,27,4350
JUAN,MARTINEZ,PEREZ,1998,9,24,19,26,6668
GABRIELA,CRUZ,GARCIA,1991,10,5,9,33,3829
FERNANDO,CRUZ,GARCIA,2002,2,5,17,22,7253
SOFIA,LOPEZ,LOPEZ,2002,1,17,17,22,6146
LAURA,CRUZ,HERNANDEZ,1987,1,19,5,37,1499
CARLOS,LOPEZ,GARCIA,1999,2,28,20,25,9241
ANA,GOMEZ,RAMIREZ,1989,9,17,16,35,6912
SOFIA,RODRIGUEZ,GOMEZ,1998,3,5,15,26,5962
LAURA,GOMEZ,SANCHEZ,1986,3,8,20,38,7211
SOFIA,HERNANDEZ,SANCHEZ,1996,10,9,3,28,790
SOFIA,GARCIA,LOPEZ,1989,5,13,2,35,521
LAURA,GARCIA,LOPEZ,2001,3,4,11,23,3947
MARIA,GARCIA,RAMIREZ,1999,4,15,9,25,3002
PEDRO,RAMIREZ,RAMIREZ,1991,10,16,10,33,4202
CARLOS,GARCIA,GOMEZ,2000,7,21,14,24,2934
ANA,HERNANDEZ,CRUZ,1992,7,13,10,32,2744
LAURA,RODRIGUEZ,RODRIGUEZ,2004,10,9,15,20,5399
PEDRO,RODRIGUEZ,PEREZ,2000,3,1,1,24,399
MARIA,LOPEZ,RODRIGUEZ,1995,5,5,7,29,1747
SOFIA,LOPEZ,CRUZ,1987,3,8,18,37,8013
SOFIA,HERNANDEZ,CRUZ,1990,2,13,1,34,413
MARIA,CRUZ,SANCHEZ,1989,7,2,16,35,5493
ANA,GOMEZ,LOPEZ,2002,5,5,7,22,3204
JUAN,HERNANDEZ,GARCIA,2001,3,26,18,23,8587
JUAN,GOMEZ,HERNANDEZ,1998,6,13,9,26,2004
LUIS,MARTINEZ,RODRIGUEZ,1996,3,3,7,28,2345
SOFIA,RAMIREZ,SANCHEZ,1996,1,8,11,28,3570
FERNANDO,PEREZ,GARCIA,1989,7,1,8,35,2946
LAURA,GARCIA,LOPEZ,1996,6,12,3,28,1100
PEDRO,HERNANDEZ,SANCHEZ,1989,12,28,8,35,3711
FERNANDO,GOMEZ,GOMEZ,1989,6,22,7,35,2648
ANA,GARCIA,RODRIGUEZ,1986,8,23,1,38,479
GABRIELA,LOPEZ,GOMEZ,1999,5,4,16,25,6759
GABRIELA,CRUZ,MARTINEZ,1995,9,15,12,29,4261
FERNANDO,MARTINEZ,SANCHEZ,1990,12,25,16,34,7401
LUIS,CRUZ,HERNANDEZ,1995,7,27,14,29,5910
MARIA,SANCHEZ,HERNANDEZ,1987,11,23,7,37,2829
MARIA,LOPEZ,MARTINEZ,1995,2,12,17,29,7312
PEDRO,GOMEZ,GARCIA,1993,12,19,16,31,7054
CARLOS,LOPEZ,PEREZ,2005,6,3,5,19,1779
GABRIELA,CRUZ,HERNANDEZ,1993,6,3,20,31,8993
FERNANDO,GOMEZ,GARCIA,1988,11,28,8,36,2032
SOFIA,GARCIA,SANCHEZ,2000,3,7,5,24,1821
JUAN,PEREZ,LOPEZ,1989,12,18,10,35,2469
MARIA,GOMEZ,SANCHEZ,1985,8,1,7,39,1969
GABRIELA,HERNANDEZ,RODRIGUEZ,1991,2,17,2,33,772
PEDRO,GOMEZ,CRUZ,2001,7,10,10,23,4346
FERNANDO,HERNANDEZ,GOMEZ,2004,7,18,2,20,421
CARLOS,HERNANDEZ,CRUZ,1996,3,5,19,28,7677
LUIS,HERNANDEZ,PEREZ,1995,9,27,18,29,7452
FERNANDO,MARTINEZ,MARTINEZ,2001,12,18,8,23,3743
FERNANDO,CRUZ,MARTINEZ,1993,1,16,6,31,2470
PEDRO,LOPEZ,GARCIA,2001,3,20,3,23,1439
SOFIA,CRUZ,GOMEZ,1992,10,20,5,32,1622
ANA,HERNANDEZ,LOPEZ,1994,4,1,13,30,5531
MARIA,RODRIGUEZ,MARTINEZ,1985,8,7,1,39,258
MARIA,SANCHEZ,LOPEZ,1990,7,10,16,34,6553
FERNANDO,RODRIGUEZ,GOMEZ,1998,1,12,19,26,9008
ANA,RODRIGUEZ,GOMEZ,1985,1,6,17,39,6485
ANA,PEREZ,HERNANDEZ,1998,5,28,18,26,4565
LUIS,GARCIA,GARCIA,1990,6,5,13,34,6383
SOFIA,CRUZ,HERNANDEZ,1988,9,17,5,36,1320
PEDRO,HERNANDEZ,SANCHEZ,2005,6,9,12,19,5517
GABRIELA,RAMIREZ,GARCIA,2002,8,7,17,22,6225
ANA,GOMEZ,SANCHEZ,1988,4,15,5,36,1816
PEDRO,PEREZ,SANCHEZ,1987,9,14,11,37,3535
LUIS,CRUZ,HERNANDEZ,1986,6,3,6,38,1862
JUAN,RAMIREZ,HERNANDEZ,1989,8,11,20,35,6300
ANA,LOPEZ,GOMEZ,1992,6,27,7,32,3026
CARLOS,GOMEZ,GOMEZ,2001,7,1,19,23,6251
FERNANDO,MARTINEZ,GARCIA,1990,8,25,8,34,2536
ANA,HERNANDEZ,SANCHEZ,2002,9,14,13,22,4002
MARIA,CRUZ,GARCIA,1985,8,19,4,39,1377
PEDRO,HERNANDEZ,GARCIA,2003,1,15,19,21,7699
FERNANDO,MARTINEZ,SANCHEZ,1986,12,8,6,38,2408
LAURA,PEREZ,SANCHEZ,1988,1,12,5,36,1792
SOFIA,GARCIA,PEREZ,1996,5,27,9,28,4102
MARIA,RAMIREZ,RAMIREZ,2004,12,21,1,20,479
ANA,RODRIGUEZ,SANCHEZ,1987,8,14,6,37,2818
FERNANDO,LOPEZ,MARTINEZ,1991,8,13,20,33,8155
PEDRO,HERNANDEZ,GARCIA,1987,3,11,11,37,4709
PEDRO,MARTINEZ,HERNANDEZ,1994,9,13,6,30,1751
PEDRO,GARCIA,MARTINEZ,2000,8,17,4,24,1259
MARIA,CRUZ,CRUZ,2000,9,16,17,24,6316
ANA,RAMIREZ,LOPEZ,2002,11,5,5,22,2442
LUIS,RODRIGUEZ,MARTINEZ,1992,12,19,10,32,3254
SOFIA,RODRIGUEZ,LOPEZ,1996,7,23,13,28,4148
LAURA,CRUZ,PEREZ,1997,9,6,1,27,275
CARLOS,GOMEZ,LOPEZ,1986,8,27,16,38,7886
JUAN,HERNANDEZ,RODRIGUEZ,2005,5,1,7,19,3314
PEDRO,HERNANDEZ,RAMIREZ,1990,4,12,3,34,1338
MARIA,CRUZ,PEREZ,2000,4,13,14,24,5862
LUIS,LOPEZ,GARCIA,2004,8,23,4,20,1204
SOFIA,RODRIGUEZ,SANCHEZ,1987,11,20,9,37,2598
FERNANDO,GARCIA,RAMIREZ,2004,3,18,15,20,5897
ANA,RODRIGUEZ,MARTINEZ,2000,3,8,20,24,5632
ANA,RAMIREZ,SANCHEZ,1988,5,13,4,36,1752
GABRIELA,MARTINEZ,RODRIGUEZ,1993,1,4,7,31,1703
FERNANDO,HERNANDEZ,SANCHEZ,2001,4,3,10,23,3402
CARLOS,PEREZ,GARCIA,1986,8,24,20,38,4513
PEDRO,GOMEZ,RAMIREZ,1989,5,7,6,35,2456
LAURA,GOMEZ,RAMIREZ,1990,11,19,16,34,7884
FERNANDO,GARCIA,MARTINEZ,1986,2,28,9,38,4413
FERNANDO,PEREZ,GOMEZ,1989,9,7,10,35,4410
PEDRO,SANCHEZ,RAMIREZ,2003,1,6,19,21,6410
SOFIA,GARCIA,CRUZ,1989,2,23,9,35,3674
GABRIELA,MARTINEZ,LOPEZ,1994,5,17,16,30,7766
ANA,RODRIGUEZ,HERNANDEZ,1992,2,17,6,32,1855
FERNANDO,SANCHEZ,PEREZ,1997,5,13,19,27,7347
GABRIELA,PEREZ,PEREZ,1990,1,22,10,34,2157
JUAN,RAMIREZ,RAMIREZ,1995,11,12,16,29,4198
PEDRO,GOMEZ,GOMEZ,2001,1,2,5,23,2457
SOFIA,HERNANDEZ,GARCIA,1994,2,26,12,30,4547
CARLOS,RODRIGUEZ,SANCHEZ,1986,12,19,14,38,6355
LUIS,RODRIGUEZ,RODRIGUEZ,1994,2,7,16,30,7272
SOFIA,GARCIA,RAMIREZ,1995,10,6,12,29,4495
JUAN,SANCHEZ,GARCIA,1985,1,12,17,39,5894
FERNANDO,GOMEZ,HERNANDEZ,2004,4,16,19,20,7578
GABRIELA,PEREZ,RAMIREZ,1991,4,9,8,33,3998
FERNANDO,GOMEZ,MARTINEZ,2004,9,17,9,20,2311
FERNANDO,GOMEZ,HERNANDEZ,1995,2,18,11,29,2406
CARLOS,SANCHEZ,LOPEZ,1989,6,27,2,35,629
JUAN,MARTINEZ,GOMEZ,1993,7,9,20,31,7146
CARLOS,RAMIREZ,MARTINEZ,1987,5,19,10,37,4065
CARLOS,SANCHEZ,CRUZ,1988,11,13,13,36,5547
ANA,MARTINEZ,CRUZ,1990,6,4,8,34,2089
CARLOS,LOPEZ,LOPEZ,2002,6,5,6,22,1912
CARLOS,LOPEZ,MARTINEZ,2001,10,19,20,23,8325
CARLOS,CRUZ,MARTINEZ,1988,9,15,18,36,6614
GABRIELA,GOMEZ,PEREZ,1991,4,1,2,33,647
CARLOS,CRUZ,GOMEZ,2001,1,14,10,23,3913
PEDRO,CRUZ,RAMIREZ,2004,10,11,2,20,932
FERNANDO,HERNANDEZ,GOMEZ,1995,4,28,8,29,3389
GABRIELA,RODRIGUEZ,SANCHEZ,1997,8,24,9,27,2333
ANA,GOMEZ,CRUZ,2002,2,20,5,22,1927
JUAN,MARTINEZ,PEREZ,1991,9,21,3,33,1390
SOFIA,HERNANDEZ,GOMEZ,2004,12,26,19,20,5605
PEDRO,GOMEZ,GOMEZ,1992,7,25,15,32,3930
GABRIELA,GOMEZ,SANCHEZ,1999,4,15,13,25,4522
SOFIA,LOPEZ,HERNANDEZ,2002,4,4,12,22,3037
LAURA,GARCIA,GOMEZ,1990,6,18,1,34,332
MARIA,HERNANDEZ,GOMEZ,1985,10,8,7,39,1806
FERNANDO,PEREZ,PEREZ,1995,9,17,16,29,4816
SOFIA,CRUZ,GOMEZ,1994,11,15,11,30,2582
SOFIA,LOPEZ,SANCHEZ,1993,12,18,14,31,5249
GABRIELA,GOMEZ,CRUZ,1998,5,15,5,26,1397
FERNANDO,GOMEZ,LOPEZ,1998,8,2,16,26,4695
JUAN,GOMEZ,GARCIA,1986,3,27,9,38,3983
MARIA,PEREZ,RAMIREZ,1993,4,4,7,31,3218
FERNANDO,GARCIA,SANCHEZ,1997,5,21,5,27,1523
LUIS,MARTINEZ,PEREZ,1995,2,18,2,29,439
ANA,PEREZ,RAMIREZ,1985,4,1,17,39,8035
GABRIELA,GOMEZ,LOPEZ,1997,6,11,2,27,462
JUAN,RODRIGUEZ,HERNANDEZ,1990,12,20,9,34,2534
LUIS,SANCHEZ,PEREZ,2001,5,11,4,23,1948
SOFIA,RAMIREZ,GOMEZ,1987,8,12,10,37,2112
GABRIELA,PEREZ,RODRIGUEZ,1999,10,25,16,25,4726
FERNANDO,RODRIGUEZ,MARTINEZ,1991,12,1,11,33,4423
SOFIA,PEREZ,MARTINEZ,1995,10,23,3,29,1475
MARIA,HERNANDEZ,GOMEZ,2004,4,3,1,20,401
JUAN,HERNANDEZ,SANCHEZ,1994,2,28,1,30,391
MARIA,GARCIA,RODRIGUEZ,1986,7,7,14,38,6199
CARLOS,GARCIA,CRUZ,1987,8,8,18,37,7093
LAURA,RODRIGUEZ,PEREZ,1994,5,10,7,30,2008
JUAN,SANCHEZ,CRUZ,1997,11,1,11,27,3552
LAURA,CRUZ,HERNANDEZ,1989,3,15,11,35,2945
CARLOS,GARCIA,MARTINEZ,1994,1,14,18,30,4080
LAURA,MARTINEZ,HERNANDEZ,2003,4,10,20,21,8793
LAURA,RODRIGUEZ,PEREZ,1988,11,26,19,36,5855
SOFIA,RODRIGUEZ,MARTINEZ,1989,5,11,3,35,1258
SOFIA,RAMIREZ,CRUZ,2005,2,9,4,19,825
MARIA,GARCIA,MARTINEZ,2001,8,3,3,23,606
SOFIA,CRUZ,SANCHEZ,1992,2,7,19,32,5691
MARIA,LOPEZ,RODRIGUEZ,1998,11,26,8,26,2664
PEDRO,PEREZ,LOPEZ,1988,7,6,20,36,7388
SOFIA,GOMEZ,SANCHEZ,1988,6,22,13,36,2801
LUIS,LOPEZ,MARTINEZ,1995,12,17,7,29,2315
GABRIELA,GOMEZ,GOMEZ,2002,6,5,3,22,737
ANA,GARCIA,LOPEZ,1986,8,15,12,38,5947
SOFIA,LOPEZ,CRUZ,1993,2,17,4,31,1227
GABRIELA,MARTINEZ,RODRIGUEZ,1999,3,23,9,25,4398
ANA,HERNANDEZ,RAMIREZ,1990,1,5,6,34,2965
LUIS,PEREZ,GOMEZ,1992,7,22,3,32,671
LAURA,MARTINEZ,RAMIREZ,1990,1,12,18,34,4504
LAURA,PEREZ,RODRIGUEZ,1994,7,23,11,30,5102
GABRIELA,GARCIA,RAMIREZ,1991,8,13,4,33,1452
ANA,LOPEZ,MARTINEZ,1989,7,14,7,35,3319
ANA,CRUZ,SANCHEZ,1986,6,28,14,38,2866
FERNANDO,SANCHEZ,MARTINEZ,1997,4,21,2,27,492
LAURA,RAMIREZ,PEREZ,1987,3,26,3,37,1311
SOFIA,LOPEZ,GARCIA,1985,7,4,19,39,8243
LUIS,RAMIREZ,LOPEZ,1998,2,15,20,26,4560
LUIS,GARCIA,CRUZ,1991,9,15,13,33,4222
JUAN,LOPEZ,MARTINEZ,1993,9,8,20,31,4010
CARLOS,LOPEZ,PEREZ,2003,5,21,13,21,3701
SOFIA,PEREZ,SANCHEZ,1997,6,22,17,27,8007
ANA,RODRIGUEZ,RODRIGUEZ,1999,9,7,13,25,3445
SOFIA,MARTINEZ,MARTINEZ,1992,4,3,15,32,5664
CARLOS,SANCHEZ,HERNANDEZ,2004,3,4,1,20,423
SOFIA,GARCIA,RAMIREZ,2003,2,7,14,21,4718
SOFIA,CRUZ,LOPEZ,2002,2,9,5,22,2035
PEDRO,RODRIGUEZ,CRUZ,1991,7,8,7,33,1706
LUIS,GOMEZ,LOPEZ,1999,11,24,10,25,2700
ANA,RAMIREZ,CRUZ,1988,5,16,15,36,3460
FERNANDO,MARTINEZ,SANCHEZ,1986,4,1,10,38,3851
MARIA,LOPEZ,GOMEZ,1987,11,23,7,37,1582
FERNANDO,RAMIREZ,RAMIREZ,2003,6,21,12,21,4335
CARLOS,HERNANDEZ,PEREZ,2001,8,17,17,23,4748
JUAN,LOPEZ,SANCHEZ,1995,11,5,16,29,4962
FERNANDO,GOMEZ,PEREZ,2002,9,1,8,22,2680
CARLOS,RAMIREZ,CRUZ,1986,10,20,9,38,2304
LUIS,RODRIGUEZ,RODRIGUEZ,2003,8,12,10,21,4769
PEDRO,GARCIA,GOMEZ,1992,1,28,18,32,8988
ANA,CRUZ,GARCIA,2005,2,5,18,19,6676
FERNANDO,SANCHEZ,LOPEZ,1990,3,10,2,34,568
ANA,PEREZ,SANCHEZ,1996,7,22,14,28,2834
JUAN,SANCHEZ,SANCHEZ,1997,1,27,6,27,1564
PEDRO,PEREZ,GARCIA,1985,7,16,5,39,2423
SOFIA,LOPEZ,HERNANDEZ,1996,7,9,14,28,4310
PEDRO,GARCIA,MARTINEZ,2000,1,11,1,24,243
FERNANDO,HERNANDEZ,LOPEZ,1998,8,24,13,26,2890
JUAN,RODRIGUEZ,SANCHEZ,2000,7,6,8,24,2104
GABRIELA,GARCIA,RAMIREZ,1985,12,13,16,39,4738
ANA,RAMIREZ,SANCHEZ,1993,1,7,18,31,8763
MARIA,RAMIREZ,MARTINEZ,2005,11,17,1,19,237
GABRIELA,RODRIGUEZ,PEREZ,1996,11,23,10,28,3838
SOFIA,MARTINEZ,CRUZ,1996,5,12,12,28,5761
LAURA,CRUZ,SANCHEZ,2005,1,19,6,19,2066
LAURA,GOMEZ,GOMEZ,1985,8,9,14,39,4763
FERNANDO,RODRIGUEZ,GARCIA,2005,5,6,8,19,3782
FERNANDO,CRUZ,RAMIREZ,1990,3,19,16,34,5568
JUAN,RAMIREZ,LOPEZ,1994,2,19,1,30,326
JUAN,RODRIGUEZ,SANCHEZ,2004,1,6,4,20,1888
CARLOS,GARCIA,SANCHEZ,1996,8,10,12,28,3344
LAURA,HERNANDEZ,RODRIGUEZ,2001,5,9,19,23,6520
LUIS,GARCIA,GOMEZ,1989,5,5,11,35,2813
LAURA,HERNANDEZ,SANCHEZ,1986,10,8,3,38,889
ANA,GOMEZ,LOPEZ,1994,5,24,2,30,576
MARIA,PEREZ,CRUZ,2000,3,3,16,24,4522
JUAN,MARTINEZ,GOMEZ,1987,9,19,10,37,3863
MARIA,PEREZ,RODRIGUEZ,1993,3,3,14,31,6595
ANA,RAMIREZ,PEREZ,1995,5,14,20,29,5143
SOFIA,LOPEZ,GARCIA,1996,2,25,8,28,2233
GABRIELA,GOMEZ,PEREZ,2004,3,1,10,20,2567
CARLOS,LOPEZ,LOPEZ,1992,12,24,4,32,1295
CARLOS,LOPEZ,GOMEZ,1988,6,13,1,36,232
PEDRO,SANCHEZ,GOMEZ,2000,7,2,3,24,1320
LAURA,GOMEZ,LOPEZ,1996,11,24,7,28,2498
FERNANDO,RODRIGUEZ,SANCHEZ,1991,5,10,16,33,6719
CARLOS,GARCIA,GARCIA,1993,10,3,14,31,4822
LUIS,PEREZ,RAMIREZ,1986,2,5,19,38,4096
FERNANDO,CRUZ,HERNANDEZ,2004,5,18,9,20,2748
SOFIA,RODRIGUEZ,RAMIREZ,1988,2,7,10,36,2841
FERNANDO,MARTINEZ,MARTINEZ,1988,1,22,4,36,1735
GABRIELA,LOPEZ,RAMIREZ,2002,10,3,16,22,6065
CARLOS,PEREZ,GOMEZ,1988,9,26,8,36,3406
ANA,PEREZ,SANCHEZ,1994,4,7,15,30,6315
CARLOS,MARTINEZ,GOMEZ,1995,9,22,8,29,3657
LAURA,GOMEZ,MARTINEZ,1996,12,18,13,28,2779
LUIS,LOPEZ,CRUZ,1987,3,13,19,37,3851
SOFIA,LOPEZ,RODRIGUEZ,1990,11,23,19,34,4359
ANA,HERNANDEZ,RAMIREZ,2000,6,10,20,24,7831
LAURA,GARCIA,RODRIGUEZ,1993,10,27,12,31,5316
FERNANDO,RODRIGUEZ,HERNANDEZ,1985,3,20,3,39,876
MARIA,CRUZ,CRUZ,1994,12,28,8,30,2057
LUIS,RAMIREZ,SANCHEZ,1996,8,9,20,28,5486
CARLOS,RODRIGUEZ,SANCHEZ,2005,6,11,18,19,5155
CARLOS,RODRIGUEZ,MARTINEZ,1994,12,12,13,30,2983
MARIA,LOPEZ,RAMIREZ,1985,10,17,18,39,8190
SOFIA,PEREZ,CRUZ,1988,2,12,7,36,1642
MARIA,PEREZ,GOMEZ,2000,4,27,5,24,2278
CARLOS,RODRIGUEZ,HERNANDEZ,1997,5,21,5,27,1992
JUAN,SANCHEZ,GARCIA,1993,4,16,11,31,3121
PEDRO,RAMIREZ,GOMEZ,2003,1,20,2,21,806
LUIS,HERNANDEZ,RODRIGUEZ,1996,8,15,12,28,4619
PEDRO,GARCIA,PEREZ,2003,9,2,1,21,491
SOFIA,MARTINEZ,GARCIA,1988,10,21,20,36,4482
JUAN,HERNANDEZ,LOPEZ,1992,12,12,11,32,2654
ANA,PEREZ,GOMEZ,1987,12,6,18,37,5267
FERNANDO,GOMEZ,PEREZ,1990,1,11,18,34,7021
ANA,CRUZ,PEREZ,1992,11,18,5,32,2061
FERNANDO,RODRIGUEZ,GARCIA,1992,1,7,16,32,4159
LUIS,HERNANDEZ,GARCIA,1993,1,16,1,31,207
MARIA,GARCIA,RODRIGUEZ,1987,4,16,7,37,1594
PEDRO,RAMIREZ,PEREZ,1990,7,9,18,34,8876
LUIS,PEREZ,CRUZ,1999,9,3,15,25,6076
GABRIELA,GOMEZ,HERNANDEZ,1994,4,18,6,30,2391
GABRIELA,RODRIGUEZ,CRUZ,1999,9,19,16,25,5771
PEDRO,RODRIGUEZ,RAMIREZ,1994,11,3,6,30,1261
CARLOS,CRUZ,HERNANDEZ,2000,6,22,6,24,2389
FERNANDO,SANCHEZ,RAMIREZ,2004,9,6,19,20,8348
JUAN,GOMEZ,MARTINEZ,2005,8,10,13,19,2653
MARIA,CRUZ,RAMIREZ,1989,3,24,6,35,1770
ANA,HERNANDEZ,GARCIA,1986,2,2,11,38,3673
CARLOS,RODRIGUEZ,RAMIREZ,1999,5,11,17,25,4112
FERNANDO,RAMIREZ,CRUZ,2005,5,23,3,19,986
LUIS,LOPEZ,RODRIGUEZ,1998,6,15,18,26,8056
JUAN,GARCIA,RODRIGUEZ,2003,4,15,12,21,5813
FERNANDO,MARTINEZ,MARTINEZ,1991,10,5,6,33,2333
JUAN,MARTINEZ,SANCHEZ,2000,4,10,4,24,1027
